Team-H,xG-H,xG-A,Team-A
Crystal Palace,1.21,1.00,Arsenal
Fulham,1.25,1.23,Liverpool
Tottenham,1.57,0.48,Southampton
Newcastle Utd,1.74,0.28,Nottingham Forest
Leeds United,0.80,1.84,Wolves
Bournemouth,0.59,0.66,Aston Villa
Everton,0.67,1.64,Chelsea
Leicester City,0.62,0.76,Brentford
Manchester Utd,1.38,1.50,Brighton
West Ham,0.49,2.23,Manchester City
Aston Villa,2.31,1.55,Everton
Manchester City,1.55,0.12,Bournemouth
Southampton,0.89,1.94,Leeds United
Wolves,0.86,1.45,Fulham
Arsenal,2.54,0.40,Leicester City
Brighton,1.24,0.18,Newcastle Utd
Brentford,1.69,0.90,Manchester Utd
Nottingham Forest,1.36,2.38,West Ham
Chelsea,1.53,1.06,Tottenham
Liverpool,2.07,1.04,Crystal Palace
Tottenham,1.68,0.72,Wolves
Leicester City,0.26,0.91,Southampton
Everton,1.66,1.05,Nottingham Forest
Crystal Palace,2.69,0.90,Aston Villa
Fulham,2.60,1.29,Brentford
Bournemouth,0.29,1.54,Arsenal
Leeds United,2.38,0.73,Chelsea
West Ham,0.90,1.72,Brighton
Newcastle Utd,2.02,2.22,Manchester City
Manchester Utd,1.79,1.35,Liverpool
Southampton,1.45,1.40,Manchester Utd
Manchester City,2.42,0.12,Crystal Palace
Brighton,2.02,1.84,Leeds United
Chelsea,1.75,2.52,Leicester City
Brentford,2.14,1.07,Everton
Liverpool,3.32,0.33,Bournemouth
Arsenal,2.73,0.83,Fulham
Wolves,0.73,2.00,Newcastle Utd
Aston Villa,0.37,0.34,West Ham
Nottingham Forest,0.95,2.49,Tottenham
Fulham,0.56,1.41,Brighton
Crystal Palace,0.98,1.43,Brentford
Southampton,1.32,1.20,Chelsea
Leeds United,1.01,0.98,Everton
Bournemouth,0.42,1.51,Wolves
Manchester City,3.32,0.66,Nottingham Forest
Arsenal,2.56,0.45,Aston Villa
West Ham,1.24,0.63,Tottenham
Liverpool,1.50,0.72,Newcastle Utd
Leicester City,0.73,1.55,Manchester Utd
Everton,1.72,2.19,Liverpool
Nottingham Forest,1.90,0.78,Bournemouth
Wolves,0.80,1.20,Southampton
Newcastle Utd,2.83,1.01,Crystal Palace
Brentford,2.43,1.92,Leeds United
Tottenham,2.98,0.73,Fulham
Aston Villa,0.34,2.10,Manchester City
Brighton,2.76,1.45,Leicester City
Chelsea,0.87,1.10,West Ham
Manchester Utd,1.55,1.32,Arsenal
Fulham,1.00,2.10,Chelsea
Aston Villa,0.90,0.30,Southampton
Nottingham Forest,1.40,0.90,Fulham
Wolves,0.40,1.10,Manchester City
Newcastle Utd,1.90,0.70,Bournemouth
Everton,0.40,1.00,West Ham
Tottenham,2.20,1.80,Leicester City
Brentford,0.50,1.50,Arsenal
Southampton,1.70,2.00,Everton
Crystal Palace,0.44,1.14,Chelsea
Leeds United,0.40,2.20,Aston Villa
Manchester City,3.20,1.70,Manchester Utd
West Ham,0.90,0.70,Wolves
Leicester City,1.30,1.10,Nottingham Forest
Liverpool,1.50,1.50,Brighton
Arsenal,2.40,1.60,Tottenham
Fulham,0.50,3.30,Newcastle Utd
Bournemouth,0.40,0.90,Brentford
Brighton,0.60,0.80,Tottenham
West Ham,2.40,0.70,Fulham
Everton,0.60,1.50,Manchester Utd
Bournemouth,0.90,1.00,Leicester City
Newcastle Utd,1.60,1.20,Brentford
Arsenal,2.70,1.10,Liverpool
Manchester City,2.20,0.10,Southampton
Chelsea,1.70,0.90,Wolves
Crystal Palace,1.08,0.96,Leeds United
Nottingham Forest,0.30,0.70,Aston Villa
Liverpool,2.00,0.90,Manchester City
Southampton,0.60,1.50,West Ham
Leicester City,1.01,0.39,Crystal Palace
Brentford,1.60,1.80,Brighton
Aston Villa,1.80,1.10,Chelsea
Leeds United,1.80,0.50,Arsenal
Fulham,2.00,1.00,Bournemouth
Wolves,1.10,1.50,Nottingham Forest
Manchester Utd,0.90,0.80,Newcastle Utd
Tottenham,2.40,0.50,Everton
Brighton,1.70,0.10,Nottingham Forest
Leicester City,0.80,1.30,Leeds United
Bournemouth,1.10,1.30,Southampton
Brentford,1.30,0.90,Chelsea
Fulham,2.00,1.00,Aston Villa
Crystal Palace,1.20,0.84,Wolves
